created,text,retwc,hashtag,followers,friends,subjectivity,polarity
2021-09-25 03:23:04,"b""RT @armymedunion: Jin : We are all vaccinated &amp; we sympathize w people who fear vaccines bc it's something that didn't exist before. But I\xe2\x80\xa6""",119,None,65,80,0.0,0.0
2021-09-25 02:33:19,b'yeay!\n #ARMYvaccinatedtoo https://t.co/V4RX4Fu3Ri',0,ARMYvaccinatedtoo,196,135,0.0,0.0
2021-09-25 02:29:06,"b""RT @armymedunion: Jin : We are all vaccinated &amp; we sympathize w people who fear vaccines bc it's something that didn't exist before. But I\xe2\x80\xa6""",119,None,509,407,0.0,0.0
2021-09-24 23:48:43,"b""RT @armymedunion: Jin : We are all vaccinated &amp; we sympathize w people who fear vaccines bc it's something that didn't exist before. But I\xe2\x80\xa6""",119,None,278,857,0.0,0.0
2021-09-24 23:33:04,"b""RT @armymedunion: Jin : We are all vaccinated &amp; we sympathize w people who fear vaccines bc it's something that didn't exist before. But I\xe2\x80\xa6""",119,None,224,765,0.0,0.0
2021-09-24 22:38:00,b'RT @AcesG2d: Twitter is shaking right now #BTS_twt #BTSatUNGA #JungKook #KimTaehyung #GotARMYRightBehindYou #BTSPavedTheWay #ARMYvaccinated\xe2\x80\xa6',525,BTS_twt,165,3877,0.5357142857142857,0.2857142857142857
2021-09-24 22:21:01,"b""RT @armymedunion: Jin : We are all vaccinated &amp; we sympathize w people who fear vaccines bc it's something that didn't exist before. But I\xe2\x80\xa6""",119,None,27,162,0.0,0.0
2021-09-24 21:31:31,b'RT @AcesG2d: Twitter is shaking right now #BTS_twt #BTSatUNGA #JungKook #KimTaehyung #GotARMYRightBehindYou #BTSPavedTheWay #ARMYvaccinated\xe2\x80\xa6',525,BTS_twt,1,93,0.5357142857142857,0.2857142857142857
2021-09-24 21:06:53,b'Just got my second dose hehe #FullyVaccinated #ARMYvaccinatedtoo',0,FullyVaccinated,98,95,0.0,0.0
2021-09-24 20:49:35,b'@UNICEF @BTS_twt #BTSARMY responded with #ARMYvaccinatedtoo',0,BTSARMY,8,161,0.0,0.0
2021-09-24 20:46:55,b'@GoAwayWithJae @BTS_twt #BTSARMY responded with #ARMYvaccinatedtoo !!! \xf0\x9f\xa4\x97\xf0\x9f\xa4\x97\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c',0,BTSARMY,8,161,0.0,0.0
2021-09-24 20:26:49,b'Guess who\xe2\x80\x99s getting her 3rd Pfizer booster shot next week \xe2\x9c\x8c\xf0\x9f\x8f\xbd #ARMYvaccinatedtoo',0,ARMYvaccinatedtoo,639,391,0.0,0.0
2021-09-24 20:15:13,b'This hashtag #ARMYvaccinatedtoo... ok??? https://t.co/89m3uXujHr',0,ARMYvaccinatedtoo,82,1538,0.5,0.5
2021-09-24 19:27:37,b'Available!!! Visit our store to order now!!\nhttps://t.co/jo3hc9Mu2x\n\n.\n.\n.\n.\n#cuteairpodcase #Iphonecases\xe2\x80\xa6 https://t.co/JIu4iWvpmb',0,cuteairpodcase,3,25,0.4,0.78125
2021-09-24 19:18:32,b'@xCeleste___ You made the Forbes article!  https://t.co/2sUEFG8v1j',0,None,10,107,0.0,0.0
2021-09-24 18:40:49,b'RT @agelihs: go get vaccinated !!!#ARMYvaccinatedtoo https://t.co/9Doq5fPiXQ',7,ARMYvaccinatedtoo,174,346,0.0,0.0
2021-09-24 18:36:51,b'Wise words from a wise beautiful man #ARMYvaccinatedtoo https://t.co/JjjhmmKnrc',1,ARMYvaccinatedtoo,159,489,0.9333333333333332,0.75
2021-09-24 18:31:20,"b'RT @jan_ro: lol this Forbes journalist clearly had fun writing this one\n\n""If you haven\xe2\x80\x99t heard of BTS then maybe you\xe2\x80\x99ve been spending too m\xe2\x80\xa6'",24,None,286,372,0.42777777777777776,0.39999999999999997
2021-09-24 18:29:24,b'RT @agelihs: go get vaccinated !!!#ARMYvaccinatedtoo https://t.co/9Doq5fPiXQ',7,ARMYvaccinatedtoo,230,2353,0.0,0.0
2021-09-24 18:18:18,b'RT @agelihs: go get vaccinated !!!#ARMYvaccinatedtoo https://t.co/9Doq5fPiXQ',7,ARMYvaccinatedtoo,192,302,0.0,0.0
2021-09-24 18:14:05,b'RT @agelihs: go get vaccinated !!!#ARMYvaccinatedtoo https://t.co/9Doq5fPiXQ',7,ARMYvaccinatedtoo,61,112,0.0,0.0
2021-09-24 18:11:16,b'RT @agelihs: go get vaccinated !!!#ARMYvaccinatedtoo https://t.co/9Doq5fPiXQ',7,ARMYvaccinatedtoo,31,138,0.0,0.0
2021-09-24 18:06:17,b'go get vaccinated !!!#ARMYvaccinatedtoo https://t.co/9Doq5fPiXQ',7,ARMYvaccinatedtoo,5076,2387,0.0,0.0
