created,text,retwc,hashtag,followers,friends,subjectivity,polarity
2021-10-09 03:56:30,b'RT @EmeraldRobinson: Why did DARPA bail out Moderna in 2013 with a $25 million grant?',2462,None,43,556,0.0,0.0
2021-10-09 03:56:30,"b""RT @jaffer_ali1: &lt;Finland on Thursday paused the use of Moderna's COVID-19 vaccine for younger males due to reports of a rare cardiovascula\xe2\x80\xa6""",1,None,211,237,0.425,0.05833333333333333
2021-10-09 03:56:26,"b'RT @andrewbostom: It\'s more &amp; more obvious that Covid is our Chernobyl  ""Sweden - which has had the most measured &amp; science-driven response\xe2\x80\xa6'",210,None,814,722,0.5,0.375
2021-10-09 03:56:22,"b'RT @AndySwan: ICELAND COMPLETELY HALTS USE OF MODERNA VAX IN ALL DEMOGRAPHICS, CITING RISK TO HEART'",538,None,49,63,0.4,0.1
2021-10-09 03:56:20,"b""RT @JillColtonFree: Fair question to ask, if Iceland banned the Moderna vax because it's dangerous why doesn't Canada do the same?\nEasy ans\xe2\x80\xa6""",17,None,338,2557,0.9,0.04999999999999999
2021-10-09 03:56:13,"b'(https://t.co/eOsQVakj6c):#Moderna #Plans To Build Vaccine Factory In Africa, What This Means For Covid-19 : Will t\xe2\x80\xa6 https://t.co/T2M8X5X4vs'",0,Moderna,866,138,0.0,0.0
2021-10-09 03:56:03,b'apparently the moderna booster shot side effects sucks balls',0,None,1684,1069,0.32499999999999996,-0.125
2021-10-09 03:55:58,b'RT @george_jazzcat: I lived in Reykjavik for a few years and can save your time using Google translate:\nIceland has halted ALL Moderna vacc\xe2\x80\xa6',276,None,157,140,0.1,-0.2
2021-10-09 03:55:57,b'RT @FrancisBoulle: BREAKING: Iceland has stopped the use of Moderna due to excessive risk of heart disorders https://t.co/DQyWlcLrwB',184,None,1595,1202,0.6875,-0.1875
2021-10-09 03:55:52,"b'RT @DrJohnB2: Immune-mediated hepatitis secondary to #COVIDVaccination (Moderna): https://t.co/VFu5JrJ45n\n""Long-term follow up of identifie\xe2\x80\xa6'",98,COVIDVaccination,240,424,0.3,-0.3
2021-10-09 03:55:51,"b'RT @JeanmarcBenoit: Scandinavia and Moderna restriction (Sweden, Iceland, Norway, Finland, Denmark)\n\nIt would be interesting to see the dat\xe2\x80\xa6'",6,None,136,682,0.5,0.5
2021-10-09 03:55:49,b'RT @justin_hart: Iceland just nixed the use of Moderna - FOR EVERYONE. \n\nhttps://t.co/6Xz2bEC0tS https://t.co/RNhsglhdsA',685,None,404,508,0.0,0.0
2021-10-09 03:55:47,"b'RT @DavidBCollum: As Moderna is getting pulled and as you wonder about whether the jab you got was a good risk-reward, you might want to re\xe2\x80\xa6'",151,None,948,714,0.6000000000000001,0.7
2021-10-09 03:55:38,b'@davidmweissman Working through this pandemic everyday a risk to self &amp; Husband got the shots 2x Moderna ASAP. Read\xe2\x80\xa6 https://t.co/jELZPFf3nT',0,None,3785,4590,0.6,-0.2
2021-10-09 03:55:32,b'RT @tuxlemons: Moderna demands the FDA &amp; Health Canada authorize vaccine booster jabs on the exact same day that Sweden &amp; Denmark ban the M\xe2\x80\xa6',526,None,187,394,0.1875,0.125
2021-10-09 03:55:29,"b'RT @VaccineChoiceCA: ""Finland has joined other Nordic countries in suspending or discouraging the use of Moderna\xe2\x80\x99s COVID-19 vaccine in cert\xe2\x80\xa6'",21,None,105,48,0.375,-0.125
2021-10-09 03:55:21,"b'RT @HighWireTalk: ""An announcement states that in recent days there has been data from the Nordic countries on the increased incidence of m\xe2\x80\xa6'",227,None,2119,1075,0.25,0.0
