created,text,retwc,hashtag,followers,friends,subjectivity,polarity
2021-09-20 10:34:41,b'\xf0\x9f\x92\x89 \xf0\x9d\x97\xa2\xf0\x9d\x97\xa1-\xf0\x9d\x97\x96\xf0\x9d\x97\x94\xf0\x9d\x97\xa0\xf0\x9d\x97\xa3\xf0\x9d\x97\xa8\xf0\x9d\x97\xa6 \xf0\x9d\x97\xa9\xf0\x9d\x97\x94\xf0\x9d\x97\x96\xf0\x9d\x97\x96\xf0\x9d\x97\x9c\xf0\x9d\x97\xa1\xf0\x9d\x97\x94\xf0\x9d\x97\xa7\xf0\x9d\x97\x9c\xf0\x9d\x97\xa2\xf0\x9d\x97\xa1 \xf0\x9d\x97\x96\xf0\x9d\x97\x9f\xf0\x9d\x97\x9c\xf0\x9d\x97\xa1\xf0\x9d\x97\x9c\xf0\x9d\x97\x96 \xf0\x9d\x97\xa1\xf0\x9d\x97\xa2\xf0\x9d\x97\xaa \xf0\x9d\x97\xa2\xf0\x9d\x97\xa3\xf0\x9d\x97\x98\xf0\x9d\x97\xa1 \xf0\x9f\x92\x89\n\nVisit University House on Peel Park campus between 10:00-16:00 from Mond\xe2\x80\xa6 https://t.co/U8xFtXrlXt',21,None,53395,1018,0.0,0.0
2021-09-13 13:08:46,"b'All 12 to 15-year-olds should be offered one dose of Pfizer coronavirus vaccine, UK\xe2\x80\x99s chief medical officers recomm\xe2\x80\xa6 https://t.co/0djTKrilrX'",626,None,48208718,3,0.0,0.0
2021-09-13 14:38:10,"b'Children aged 12 to 15 should be offered a first dose of the Pfizer/BioNTech vaccine, the UK\xe2\x80\x99s four chief medical o\xe2\x80\xa6 https://t.co/gYl0a7tRMr'",860,None,173757,26,0.24444444444444446,0.049999999999999996
2021-09-13 11:35:33,b'Is Pfizer demanding \xe2\x80\x9cmilitary bases as guarantees\xe2\x80\x9d in exchange for vaccines? \n\nWhat kind of world have we allowed t\xe2\x80\xa6 https://t.co/OuLE2ySGFY',285,None,278381,702,0.9,0.6
2021-09-13 13:59:10,"b'A new @TheLancet viewpoint by an international panel on boosters: ""To date, none of these studies has provided evid\xe2\x80\xa6 https://t.co/iO9yzPu8MF'",179,None,526332,530,0.22727272727272727,0.06818181818181818
2021-09-13 20:53:26,"b""Most of the anti-vax stuff I see centers the new MRNA technology used by Pfizer &amp; Moderna. It's hilarious though be\xe2\x80\xa6 https://t.co/0eLtpHyPBK""",325,None,444381,1116,0.6515151515151515,0.37878787878787873
2021-09-13 13:03:13,b'The four chief medical officers for the UK have recommended that all children aged 12 to 15 years old should be off\xe2\x80\xa6 https://t.co/DiFgFknI6p',344,None,101688,1352,0.20000000000000004,0.0
2021-09-13 21:24:00,b'What an absolute financial bonanza this year has been for Big Pharma and the Pfizer Corporation in particular. And\xe2\x80\xa6 https://t.co/4ocLNGmxw6',306,None,90605,45915,0.3333333333333333,0.09166666666666667
2021-09-13 13:47:19,"b'Producers of the Pfizer vaccine, BioNTech, are preparing to request clearance to vaccinate children five years old\xe2\x80\xa6 https://t.co/ctuMz0B5WQ'",228,None,1463199,111,0.0,0.0
2021-09-13 10:43:55,"b'\xf0\x9f\xa9\xb9Children aged 12 to 15 are now eligible for a COVID-19 vaccination. You can book in for Pfizer now, or Moderna fro\xe2\x80\xa6 https://t.co/dkD2E3mSHQ'",109,None,245172,330,0.4,-0.1
2021-09-13 17:22:09,"b""As Pfizer's Covid vaccine was pushed through for a final approval, the FDA removed an article on their site about K\xe2\x80\xa6 https://t.co/347ytbCiOU""",71,None,216143,25831,1.0,0.0
2021-09-13 14:52:21,"b'Two doses of Pfizer, AstraZeneca shots effective against Delta variant: study | Reuters https://t.co/lupXrc6Cx5'",76,None,5926,410,0.8,0.6
2021-09-13 15:28:27,b'Israel has become Pfizer\xe2\x80\x99s laboratory. https://t.co/rvTWyUpZyZ',108,None,114055,1033,0.0,0.0
2021-09-13 10:15:02,b'Vaccines for children &gt;5-years old should be available by Oct-Nov\n\nFDA asking Pfizer/Moderna to enroll more childre\xe2\x80\xa6 https://t.co/V0Tg2WazAY',117,None,513143,427,0.3666666666666667,0.3333333333333333
2021-09-13 14:09:46,b'This is a key point. A significant number of experts and doctors are quietly recommending a Moderna/Pfizer booster\xe2\x80\xa6 https://t.co/noKSFojLao',119,None,153668,2162,0.7361111111111112,0.125
2021-09-13 17:37:05,b'Also now expecting UK wide decision on Covid booster jabs tomorrow -  programme for over 50s likely to offer booste\xe2\x80\xa6 https://t.co/PoJWTLvGd3',70,None,1315640,1677,0.7,-0.05
